desalojadas	de-sa-lo-j#a-das
orográfica	o-ro-gr#á-fi-ca
dominantes	do-mi-n#an-tes
extinguem	ex-t#in-guem
soterradas	so-te-rr#a-das
numa	n#u-ma
inumação	i-nu-ma-ç#ão
estupenda	es-tu-p#en-da
recentes	re-c#en-tes
circundam	cir-c#un-dam
permanece	per-ma-n#e-ce
elevada	e-le-v#a-da
alongando-se	a-lon-g#an-do§-se
planuras	pla-n#u-ras
amplas	#am-plas
avultando	a-vul-t#an-do
falsas	f#al-sas
denudação	de-nu-da-ç#ão
descendo	des-c#en-do
aclives	a-cl#i-ves
mas	mas
tendo	t#en-do
dorsos	d#or-sos
alargados	a-lar-g#a-dos
inscritos	in-scr#i-tos
nível	n#í-vel
apontoado	a-pon-to-#a-do
vértices	v#ér-ti-ces
albardões	al-bar-d#ões
distantes	dis-t#an-tes
perlongam	per-l#on-gam
Verifica-se	ve-ri-f#i-ca§-se
assim	a-ss#im
tendência	ten-d#ên-cia
aplainamento	a-pl#ai-na-men-to
Porque	por-qu#e
coincidir	coi-nci-d#ir
depressão	de-pre-ss#ão
arqueanas	ar-que-#a-nas
montanhosa	mon-ta-nh#o-sa
minas	m#i-nas
vai	v#ai
prendendo	pren-d#en-do
ressaltos	re-ss#al-tos
extensa	ex-t#en-sa
tabuleiros	ta-bu-l#ei-ros
Grão	gr#ão
Mogol	mo-g#ol
raiando	rai-#an-do
lindes	l#in-des
espécimen	es-p#é-ci-men
dessas	d#e-ssas
esplêndidas	es-pl#ên-di-das
imitando	i-mi-t#an-do
perturbam	per-t#ur-bam
aos	#a-os
geógrafos	ge-#ó-gra-fos
descuidados	des-c#ui-da-dos
demais	de-m#ais
convizinham	con-vi-z#i-nham
Cabral	ca-br#al
próxima	pr#ó-xi-ma
Mata	m#a-ta
Corda	c#or-da
Goiás	goi-#ás
modelam-se	mo-d#e-lam§-se
idêntica	i-d#ên-ti-ca
sulcos	s#ul-cos
retalham	re-t#a-lham
são	são
cortes	c#or-tes
geológicos	ge-o-l#ó-gi-cos
Ostentam	os-t#en-tam
plano	pl#a-no
vertical	ver-ti-c#al
sucedendo-se	su-ce-d#en-do§-se
base	b#a-se
mesmas	m#es-mas
substituírem	subs-ti-tu-#í-rem
alongado	a-lon-g#a-do
roteiro	ro-t#ei-ro
superfície	su-per-f#í-cie
embaixo	em-b#ai-xo
graníticos	gra-n#í-ti-cos
decaídos	de-ca-#í-dos
fundo	f#un-do
cômoros	c#ô-mo-ros
esparsos	es-p#ar-sos
meia	m#ei-a
encosta	en-c#os-ta
inclinadas	in-cli-n#a-das
xistosas	xis-t#o-sas
sobrepujando-as	so-bre-pu-j#an-do§-as
circuitando-lhes	circuitando§-lhes
flancos	fl#an-cos
monoclínicos	mo-no-cl#í-ni-cos
lençóis	len-ç#óis
predominantes	pre-do-mi-n#an-tes
oferecendo	o-fe-re-c#en-do
agentes	a-g#en-tes
meteóricos	me-te-#ó-ri-cos
plasticidade	plas-ti-ci-d#a-de
caprichosos	ca-pri-ch#o-sos
modelos	mo-d#e-los
Sem	Sem
nada	n#a-da
extensas	ex-t#en-sas
rechãs	re-ch#ãs
terminando	ter-mi-n#an-do
chofre	ch#o-fre
molduragem	mol-du-r#a-gem
golpeante	gol-pe-#an-te
regímen	re-g#í-men
torrencial	to-rren-ci-#al
terreno	te-rr#e-no
permeável	per-me-#á-vel
móvel	m#ó-vel
Caindo	ca-#in-do
há	h#á
séculos	s#é-cu-los
enxurradas	en-xu-rr#a-das
derivando	de-ri-v#an-do
divagantes	di-va-g#an-tes
drenagem	dre-n#a-gem
foram	f#o-ram
pouco	p#ou-co
reprofundando-as	re-pro-fun-d#an-do§-as
talhando-as	ta-lh#an-do§-as
quebradas	que-br#a-das
fizeram	fi-z#e-ram
cañons	ca-o#ns
declive	de-cl#i-ve
orlarem	or-l#a-rem
escarpamentos	es-car-pa-m#en-tos
despenhadeiros	des-pe-nha-d#ei-ros
soerguidos	so-er-gu#i-dos
consoante	con-so-#an-te
resistência	re-sis-t#ên-cia
materiais	ma-te-ri-#ais
trabalhados	tra-ba-lh#a-dos
variaram	va-ri-#a-ram
aspectos	as-p#ec-tos
aqui	a-qu#i
apontam	a-p#on-tam
rijamente	ri-ja-m#en-te
últimos	#úl-ti-mos
fragmentos	frag-m#en-tos
enterradas	en-te-rr#a-das
desvendando-se	des-ven-d#an-do§-se
fraguedos	fra-gu#e-dos
relembram	re-l#em-bram
altura	al-t#u-ra
antiqüíssimo	an-ti-qu#í-ssi-mo
Himalaia	hi-ma-l#ai-a
brasileiro	bra-si-l#ei-ro
desbarrancado	des-ba-rran-c#a-do
desintegração	de-sin-te-gra-ç#ão
contínua	con-t#í-nua
curso	c#ur-so
escalonam	es-ca-l#o-nam
alinhamentos	a-li-nha-m#en-tos
incorretos	in-co-rr#e-tos
menires	me-n#i-res
colossais	co-lo-ss#ais
círculos	c#ír-cu-los
enormes	e-n#or-mes
recordando	re-cor-d#an-do
disposição	dis-po-si-ç#ão
grandes	gr#an-des
blocos	bl#o-cos
superpostos	su-per-p#os-tos
rimas	r#i-mas
