desalojadas	de-sa-lo-j#a-das
muramentos	mu-ra-m#en-tos
desmantelados	des-man-te-l#a-dos
ciclópicos	ci-cl#ó-pi-cos
coliseus	co-li-s#eus
ruínas	ru-#í-nas
então	en-t#ão
oblíquos	o-bl#í-quos
sobreanceando	so-bre-an-ce-#an-do
interopostos	in-te-ro-p#os-tos
ladeiam	la-de-#i-am
lembram	l#em-bram
aduelas	a-du-#e-las
desconformes	des-con-f#or-mes
restos	r#es-tos
monstruosa	mons-tru-#o-sa
abóbada	a-b#ó-ba-da
antiga	an-t#i-ga
cordilheira	cor-di-lh#ei-ra
desabada	de-sa-b#a-da
vários	v#á-rios
pontos	p#on-tos
Estiram-se	es-t#i-ram§-se
Galgando-as	gal-g#an-do§-as
soerguem	so-#er-guem
dandolhes	dan-d#o-lhes
aparência	a-pa-r#ên-cia
exata	e-x#a-ta
suspensos	sus-p#en-sos
topam-se	t#o-pam§-se
centenas	cen-t#e-nas
metros	m#e-tros
ampliando-se	am-pli-#an-do§-se
boleadas	bo-le-#a-das
quadrantes	qua-dr#an-tes
prolongação	pro-lon-ga-ç#ão
indefinida	in-de-fi-n#i-da
paragem	pa-r#a-gem
formosíssima	for-mo-s#í-ssi-ma
campos	c#am-pos
gerais	ge-r#ais
expandida	ex-pan-d#i-da
ondulantes	on-du-l#an-tes
tablados	ta-bl#a-dos
campeia	cam-p#ei-a
sociedade	so-ci-e-d#a-de
rude	r#u-de
vaqueiros	va-qu#ei-ros
Atravessêmo-la	a-tra-ve-ss#ê-mo-§l#a
Adiante	a-di-#an-te
Alto	#al-to
estas	#es-tas
conformações	con-for-ma-ç#ões
bipartem	bi-p#ar-tem
rumo	r#u-mo
firme	f#ir-me
série	s#é-rie
figura-se	fi-g#u-ra§-se
progredir	pro-gre-d#ir
plateau	pla-te-#au
arenoso	a-re-n#o-so
Açuruá	a-çu-ru-#á
associando-se	a-sso-ci-#an-do§-se
calcário	cal-c#á-rio
prendendo-as	pren-d#en-do§-as
talhados	ta-lh#a-dos
diáclase	di-#á-cla-se
bem	b#em
expressos	ex-pr#e-ssos
perfil	per-f#il
fantástico	fan-t#ás-ti-co
Bom	b#om
Jesus	je-s#us
Lapa	l#a-pa
enquanto	en-qu#an-to
graças	gr#a-ças
degradações	de-gra-da-ç#ões
intensas	in-t#en-sas
Geral	ge-r#al
segue	s#e-gue
anteparo	an-te-p#a-ro
alísios	a-l#í-sios
condensando-os	con-den-s#an-do§-os
diluvianos	di-lu-vi-#a-nos
aguaceiros	a-gua-c#ei-ros
desvendam	des-v#en-dam
ressurgindo	re-ssur-g#in-do
antigas	an-t#i-gas
Desenterram-se	de-sen-t#e-rram§-se
Reponta	re-p#on-ta
revivendo	re-vi-v#en-do
inteiramente	in-t#ei-ra-men-te
desdobramento	des-do-bra-m#en-to
antes	#an-tes
prolongamento	pro-lon-ga-m#en-to
mesma	m#es-ma
mineira	mi-n#ei-ra
rasgando	ras-g#an-do
afinal	a-fi-n#al
alteando-se	al-te-#an-do§-se
mesmos	m#es-mos
contornos	con-t#or-nos
perturbados	per-tur-b#a-dos
alcantis	al-can-t#is
irradiam	i-rra-d#i-am
Tromba	tr#om-ba
avultam	a-v#ul-tam
huronianos	hu-ro-ni-#a-nos
paralelas	pa-ra-l#e-las
Sincorá	sin-co-r#á
Deste	d#es-te
ponto	p#on-to
diante	di-#an-te
eixo	#ei-xo
fragmenta	frag-m#en-ta
indefinido	in-de-fi-n#i-do
Desfaz-se	des-f#az§-se
eriça-se	e-r#i-ça-§se
contrafortes	con-tra-f#or-tes
saltam	s#al-tam
acachoando	a-ca-cho-#an-do
despenhos	des-p#e-nhos
nascentes	nas-c#en-tes
Paraguaçu	pa-ra-gua-ç#u
dédalo	d#é-da-lo
tortuosas	tor-tu-#o-sas
elevadas	e-le-v#a-das
inúmeras	i-n#ú-me-ras
cruza-se	cr#u-za§-se
embaralhadamente	em-ba-ra-lha-da-m#en-te
largo	l#ar-go
cobrindo-os	co-br#in-do§-os
Transmuda-se	trans-m#u-da§-se
retratando	re-tra-t#an-do
desapoderado	de-sa-po-de-r#a-do
embater	em-ba-t#er
elementos	e-le-m#en-tos
reagem	re-#a-gem
milênios	mi-l#ê-nios
derruídas	de-rru-#í-das
queda	qu#e-da
gradativa	gra-da-t#i-va
começa	co-m#e-ça
desnivelamentos	des-ni-ve-la-m#en-tos
consideráveis	con-si-de-r#á-veis
Revela-os	re-v#e-la§-os
vivo	v#i-vo
infletir	in-fle-t#ir
torce	t#or-ce
indicando	in-di-c#an-do
transformação	trans-for-ma-ç#ão
Esta	#es-ta
deprimida	de-pri-m#i-da
revolta	re-v#ol-ta
Cai	c#ai
incoerentemente	in-co-e-ren-te-m#en-te
Último	#úl-ti-mo
rebento	re-b#en-to
principal	prin-ci-p#al
Itiúba	i-ti-#ú-ba
reúne-lhe	re-#ú-ne-§lhe
alguns	al-g#uns
galhos	g#a-lhos
indecisos	in-de-c#i-sos
fundindo	fun-d#in-do
expansões	ex-pan-s#ões
Furna	f#ur-na
Cocais	co-c#ais
Alteia-se	al-t#ei-a§-se
momento	mo-m#en-to
descai	des-c#ai
logo	l#o-go
rumos	r#u-mos
originando	o-ri-gi-n#an-do
corredeira	co-rre-d#ei-ra
quatrocentos	qua-tro-c#en-tos
quilômetros	qui-l#ô-me-tros
jusante	ju-s#an-te
Sobradinho	so-bra-d#i-nho
segmentos	seg-m#en-tos
dispersos	dis-p#er-sos
passando	pa-ss#an-do
Jeremoabo	je-re-mo-#a-bo
desvendar	des-ven-d#ar
salto	s#al-to
prodigioso	pro-di-gi-#o-so
Afonso	a-f#on-so
observador	ob-ser-va-d#or
itinerário	i-ti-ne-r#á-rio
deixa	d#ei-xa
revezam	re-v#e-zam
contraste	con-tr#as-te
belíssimo	be-l#í-ssi-mo
amplitude	am-pli-t#u-de
atingir	a-tin-g#ir
aquele	a-qu#e-le
estaca	es-t#a-ca
surpreendido	sur-pre-en-d#i-do
Está	es-t#á
Demarca-o	de-m#ar-ca§-o
banda	b#an-da
abrangendo	a-bran-g#en-do
dois	d#ois
semicírculo	se-mi-c#ír-cu-lo
encurvando	en-cur-v#an-do
também	tam-b#ém
sudeste	su-d#es-te
normal	nor-m#al
direção	di-re-ç#ão
flexuoso	fle-xu-#o-so
Itapicuru-açu	i-ta-pi-cu-r#u§-açu
Segundo	se-g#un-do
mediana	me-di-#a-na
correndo	co-rr#en-do
quase	qu#a-se
descambar	des-cam-b#ar
expressivo	ex-pre-ss#i-vo
vê-se	v#ê§-se
outro	#ou-tro
VazaBarris	va-za-ba-rr#is
Irapiranga	i-ra-pi-r#an-ga
tapuias	ta-p#ui-as
trecho	tr#e-cho
cabeceiras	ca-be-c#ei-ras
fantasia	fan-ta-s#i-a
cartógrafo	car-t#ó-gra-fo
estupendo	es-tu-p#en-do
degrau	de-gr#au
rampas	r#am-pas
esbarrancadas	es-ba-rran-c#a-das
situações	si-tu-a-ç#ões
Ali	a-l#i
reina	r#ei-na
caótica	ca-#ó-ti-ca
torrentes	to-rr#en-tes
naquele	na-qu#e-le
excepcional	e-xcep-ci-o-n#al
selvagem	sel-v#a-gem
Abordando-o	a-bor-d#an-do§-o
compreende-se	com-pre-#en-de§-se
escasseiem	es-ca-sse#i-em
trato	tr#a-to
território	te-rri-t#ó-rio
abarcaria	a-bar-ca-r#i-a
Holanda	ho-l#an-da
lat	l#at
long	long
R	R
J	J
notícias	no-t#í-cias
exatas	e-x#a-tas
pormenorizadas	por-me-no-ri-z#a-das
claro	cl#a-ro
hiato	hi-#a-to
aventura	a-ven-t#u-ra
rabisco	ra-b#is-co
problemático	pro-ble-m#á-ti-co
idealização	i-de-a-li-za-ç#ão
corda	c#or-da
transpondo	trans-p#on-do
Itapicuru	i-ta-pi-cu-r#u
lado	l#a-do
avançadas	a-van-ç#a-das
turmas	t#ur-mas
povoadores	po-vo-a-d#o-res
estacaram	es-ta-c#a-ram
vilarejos	vi-la-r#e-jos
minúsculos	mi-n#ús-cu-los
Maçacará	ma-ça-ca-r#á
Cumbe	c#um-be
Conselho	con-s#e-lho
quais	qu#ais
decaído	de-ca-#í-do
cidade	ci-d#a-de
transmontada	trans-mon-t#a-da
sudoeste	su-do-#es-te
disseminaram-se	di-sse-mi-n#a-ram§-se
povoados	po-vo-#a-dos
abeiram	a-b#ei-ram
insignificantes	in-sig-ni-fi-c#an-tes
cursos	c#ur-sos
água	#á-gua
raras	r#a-ras
fazendas	fa-z#en-das
gado	g#a-do
estremados	es-tre-m#a-dos
tapera	ta-p#e-ra
obscura	obs-c#u-ra
Uauá	u-au#á
pararam	pa-r#a-ram
margens	mar-gens
Capim	ca-p#im
Grosso	gr#o-sso
Antônio	an-t#ô-nio
Glória	gl#ó-ria
Apenas	a-p#e-nas
último	#úl-ti-mo
avantajou	a-van-ta-j#ou
vila	v#i-la
batizando	ba-ti-z#an-do
máximo	m#á-xi-mo
esforço	es-f#or-ço
penetração	pe-ne-tra-ç#ão
tais	t#ais
lugares	lu-g#a-res
evitados	e-vi-t#a-dos
sempre	s#em-pre
vagas	v#a-gas
humanas	hu-m#a-nas
vinham	v#i-nham
baiano	bai-#a-no
procurando	pro-cu-r#an-do
cortou	cor-t#ou
rápida	r#á-pi-da
fugindo	fu-g#in-do
deixar	dei-x#ar
Nenhuma	ne-nh#u-ma
fixou	fi-x#ou
Não	n#ão
podia	po-d#i-a
fixar	fi-x#ar
estranho	es-tr#a-nho
menos	m#e-nos
quarenta	qua-r#en-ta
atravessar	a-tra-ve-ss#ar
absolutamente	ab-so-lu-ta-m#en-te
esquecido	es-que-c#i-do
léguas	l#é-guas
metrópole	me-tr#ó-po-le
predestinava-se	pre-des-ti-n#a-va§-se
anos	#a-nos
bandeiras	ban-d#ei-ras
lhe	lhe
paravam	pa-r#a-vam
envesgando	en-ves-g#an-do
lançavam	lan-ç#a-vam
Pernambuco	per-nam-b#u-co
Piau	pi-#au
Maranhão	ma-ra-nh#ão
repelidas	re-pe-l#i-das
barreira	ba-rr#ei-ra
intransponível	in-trans-po-n#í-vel
iam	#i-am
procurar	pro-cu-r#ar
demoram	de-m#o-ram
acesso	a-c#e-sso
praticáveis	pra-ti-c#á-veis
Deixavam-no	d#ei-xa-vam§-no
permeio	per-m#ei-o
inabordável	i-na-bor-d#á-vel
ignoto	ig-n#o-to
trilhando	tri-lh#an-do
daqueles	da-qu#e-les
adstritas	ads-tr#i-tas
longo	l#on-go
salteava	sal-te-#a-va
impressionadoramente	im-pre-ssi-o-na-do-ra-m#en-te
repontando	re-pon-t#an-do
imprevistas	im-pre-v#is-tas
Deixando	d#ei-xan-do
tinham	t#i-nham
transcorridas	trans-co-rr#i-das
poucas	p#ou-cas
amolentada	a-mo-len-t#a-da
desinfluída	de-sin-flu-#í-da
atração	a-tra-ç#ão
entradas	en-tr#a-das
aventurosas	a-ven-tu-r#o-sas
extinta	ex-t#in-ta
miragem	mi-r#a-gem
opulento	o-pu-l#en-to
Logo	l#o-go
Camassari	ca-ma-ssa-r#i
cobrem-se	c#o-brem§-se
escassas	es-c#a-ssas
manchas	m#an-chas
terciárias	ter-ci-#á-rias
alternando	al-ter-n#an-do
exíguas	e-x#í-guas
bacias	ba-c#i-as
cretáceas	cre-t#á-ce-as
revestidas	re-ves-t#i-das
Alagoinhas	a-la-go-#i-nhas
esgarçam	es-g#ar-çam
Inhambupe	i-nham-b#u-pe
vegetação	ve-ge-ta-ç#ão
roda	r#o-da
transmuda-se	trans-m#u-da§-se
copiando	co-pi-#an-do
alternativas	al-ter-na-t#i-vas
precisão	pre-ci-s#ão
decalque	de-c#al-que
Rarefazem-se	ra-re-f#a-zem§-se
empobrecem	em-po-br#e-cem
Extinguem-se	ex-t#in-guem§-se
fim	f#im
lançarem	lan-ç#a-rem
topo	t#o-po
cada	c#a-da
ilham-se	#i-lham§-se
avançam	a-v#an-çam
promontório	pro-mon-t#ó-rio
desnudas	des-n#u-das
flora	fl#o-ra
característica	ca-rac-te-r#ís-ti-ca
arbustos	ar-b#us-tos
flexuosos	fle-xu-#o-sos
entrechassados	en-tre-cha-ss#a-dos
bromélias	bro-m#é-lias
rubras	r#u-bras
prepondera	pre-pon-d#e-ra
exclusiva	ex-clu-s#i-va
largas	l#ar-gas
dominada	do-mi-n#a-da
vigorosa	vi-go-r#o-sa
irradiante	i-rra-di-#an-te
Pojuca	po-j#u-ca
massapé	ma-ssa-p#é
feraz	fe-r#az
decompostas	de-com-p#os-tas
lugar	lu-g#ar
reaparecem	re-a-pa-r#e-cem
terciários	ter-ci-#á-rios
esterilizadores	es-te-ri-li-za-d#o-res
antigos	an-t#i-gos
entretanto	en-tre-t#an-to
dominam	do-m#i-nam
centralizada	cen-tra-li-z#a-da
Serrinha	se-rr#i-nha
Lopes	l#o-pes
Lajedo	la-j#e-do
aprumam-se	a-pr#u-mam§-se
disformes	dis-f#or-mes
pirâmides	pi-r#â-mi-des
arredondados	a-rre-don-d#a-dos
lisos	l#i-sos
sucedem	su-c#e-dem
beirando	b#ei-ran-do
Saúde	sa-#ú-de
Vila	v#i-la
Nova	n#o-va
Rainha	ra-#i-nha
Juazeiro	ju-a-z#ei-ro
copiam-lhes	copiam§-lhes
estaladas	es-ta-l#a-das
exumando	e-xu-m#an-do
ossatura	o-ssa-t#u-ra
partida	par-t#i-da
impressão	im-pre-ss#ão
seguir	se-gu#ir
torneando	tor-ne-#an-do
truncadura	trun-ca-d#u-ra
malgradada	mal-gra-d#a-da
Calca	c#al-ca
estrada	es-tr#a-da
vezes	v#e-zes
vereda	ve-r#e-da
avançavam	a-van-ç#a-vam
rudes	r#u-des
sertanistas	ser-ta-n#is-tas
excursões	e-xcur-s#ões
alteraram	al-te-r#a-ram
nunca	n#un-ca
variou	va-ri-#ou
tarde	t#ar-de
justapondo	jus-ta-p#on-do
rastos	r#as-tos
bandeirante	ban-d#ei-ran-te
trilhos	tr#i-lhos
via	v#i-a
férrea	f#é-rre-a
longura	lon-g#u-ra
cem	c#em
entroncam	en-tr#on-cam
numerosíssimos	nu-me-ro-s#í-ssi-mos
desvios	des-v#i-os
jamais	ja-m#ais
comportou	com-por-t#ou
seu	seu
médio	m#é-dio
apreciável	a-pre-ci-#á-vel
Calcando-o	cal-c#an-do§-o
demanda	de-m#an-da
Pará	pa-r#á
destinos	des-t#i-nos
dividiam-se	di-vi-d#i-am§-se
progredindo	pro-gre-d#in-do
volvendo	vol-v#en-do
direita	di-r#ei-ta
real	re-#al
levava	le-v#a-va
uns	uns
outros	#ou-tros
contorneavam	con-tor-ne-#a-vam
evitando-a	e-vi-t#an-do§-a
sinistra	si-n#is-tra
desolada	de-so-l#a-da
subtraindo-se	sub-tra-#in-do§-se
travessia	tra-ve-ss#i-a
torturante	tor-tu-r#an-te
duas	d#u-as
interferir	in-ter-fe-r#ir
afastados	a-fas-t#a-dos
formavam	for-m#a-vam
tempos	t#em-pos
No	No
entanto	en-t#an-to
abalança	a-ba-l#an-ça
atravessá-lo	a-tra-ve-ss#á§-lo
partindo	par-t#in-do
Queimadas	qu#ei-ma-das
surpreende	sur-pre-#en-de
Recurvo	re-c#ur-vo
meandros	me-#an-dros
alenta	a-l#en-ta
vivaz	vi-v#az
barrancas	ba-rr#an-cas
pedregosas	pe-dre-g#o-sas
Jacurici	ja-cu-ri-c#i
debruam-se	de-br#u-am§-se
pequenas	pe-qu#e-nas
areento	a-re-#en-to
chão	ch#ão
desafogada	de-sa-fo-g#a-da
Aos	#a-os
lados	l#a-dos
ondulam	on-d#u-lam
rasos	r#a-sos
pedra	p#e-dra
aflorando	a-flo-r#an-do
lajedos	la-j#e-dos
movimenta	mo-vi-m#en-ta
esgarçando	es-gar-ç#an-do
tênue	t#ê-nue
capa	c#a-pa
areias	a-r#ei-as
revestem	re-v#es-tem
Vêem-se	v#ê-em-§se
tornando	tor-n#an-do
crescentemente	cres-cen-te-m#en-te
áridos	#á-ri-dos
Varada	va-r#a-da
estreita	es-tr#ei-ta
cerrados	ce-rr#a-dos
está-se	es-t#á§-se
pleno	pl#e-no
agreste	a-gr#es-te
dizer	di-z#er
matutos	ma-t#u-tos
arbúsculos	ar-b#ús-cu-los
pega	p#e-ga
escassa	es-c#a-ssa
enredados	en-re-d#a-dos
esgalhos	es-g#a-lhos
irrompem	i-rr#om-pem
solitários	so-li-t#á-rios
cereus	ce-r#eus
rígidos	r#í-gi-dos
salientes	sa-li-#en-tes
dando	d#an-do
margem	m#ar-gem
desertos	de-s#er-tos
daquele	da-qu#e-le
inóspito	i-n#ós-pi-to
vai-se	v#ai§-se
esboçando	es-bo-ç#an-do
Galga-se	g#al-ga§-se
ondulação	on-du-la-ç#ão
ele	#e-le
desvenda	des-v#en-da
adivinhar	a-di-vi-nh#ar
longe	l#on-ge
quadro	qu#a-dro
tristonho	tris-t#o-nho
monótono	mo-n#ó-to-no
esbate	es-b#a-te
uniforme	u-ni-f#or-me
colorido	co-lo-r#i-do
pardo	p#ar-do
requeimado	re-qu#ei-ma-do
Intercorrem	in-ter-c#o-rrem
ainda	a-#in-da
estéreis	es-t#é-reis
trechos	tr#e-chos
operou	o-pe-r#ou
decomposição	de-com-po-si-ç#ão
in	#in
situ	si-t#u
granito	gra-n#i-to
algumas	al-g#u-mas
argilosas	ar-gi-l#o-sas
copas	c#o-pas
virentes	vi-r#en-tes
ouricurizeiros	ou-ri-cu-ri-z#ei-ros
circuitam	cir-c#ui-tam
parêntesis	pa-r#ên-te-sis
breves	br#e-ves
abertos	a-b#er-tos
aridez	a-ri-d#ez
bordas	b#or-das
ipueiras	i-pu-#ei-ras
Estas	#es-tas
lagoas	la-g#o-as
mortas	m#or-tas
segundo	se-g#un-do
bela	b#e-la
etimologia	e-ti-mo-lo-g#i-a
indígena	in-d#í-ge-na
demarcam	de-m#ar-cam
obrigatória	o-bri-ga-t#ó-ria
escala	es-c#a-la
caminhante	ca-mi-nh#an-te
Associando-se	a-sso-ci-#an-do§-se
cacimbas	ca-c#im-bas
caldeirões	cal-dei-r#ões
abre	#a-bre
são-lhe	são-§lhe
recurso	re-c#ur-so
único	#ú-ni-co
viagem	vi-#a-gem
penosíssima	pe-no-s#í-ssi-ma
lúgubre	l#ú-gu-bre
localizadas	lo-ca-li-z#a-das
depressões	de-pre-ss#ões
colinas	co-l#i-nas
nuas	n#u-as
envoltas	en-v#ol-tas
mandacarus	man-da-ca-r#us
despidos	des-p#i-dos
tristes	tr#is-tes
espectros	es-p#ec-tros
árvores	#ár-vo-res
colo	c#o-lo
chapada	cha-p#a-da
recortando-se	re-cor-t#an-do§-se
poento	po-#en-to
placa	pl#a-ca
verde-negra	verde§-n#e-gra
algas	#al-gas
unicelulares	u-ni-ce-lu-l#a-res
Algumas	al-g#u-mas
denotam	de-n#o-tam
Encontram-se	en-c#on-tram§-se
orlando-as	or-l#an-do§-as
erguidos	er-gu#i-dos
represas	re-pr#e-sas
toscos	t#os-cos
seca	s#e-ca
Lembram	l#em-bram
monumentos	mo-nu-m#en-tos
socie	so-c#i-e
dade	d#a-de
Patrimônio	pa-tri-m#ô-nio
comum	co-m#um
agitam	a-g#i-tam
aperturas	a-per-t#u-ras
feroz	fe-r#oz
vêm	v#êm
remoto	re-m#o-to
Delinearam-nos	de-li-ne-#a-ram§-nos
afoitaram	a-f#oi-ta-ram
naquelas	na-qu#e-las
bandas	b#an-das
persistem	per-s#is-tem
indestrutíveis	in-des-tru-t#í-veis
sertanejo	ser-ta-n#e-jo
escoteiro	es-co-t#ei-ro
siga	s#i-ga
levar	le-v#ar
calce	c#al-ce
junturas	jun-t#u-ras
vacilantes	va-ci-l#an-tes
transpostos	trans-p#os-tos
estes	#es-tes
imperfeita	im-per-f#ei-ta
cópia	c#ó-pia
barragens	ba-rr#a-gens
romanas	ro-m#a-nas
remanescentes	re-ma-nes-c#en-tes
Tunísia	tu-n#í-sia
entra-se	#en-tra§-se
areais	a-re-#ais
exsicados	ex-si-c#a-dos
avançando	a-van-ç#an-do
célere	c#é-le-re
sobretudo	so-bre-t#u-do
ondulações	on-du-la-ç#ões
forma	f#or-ma
modo	m#o-do
dispostas	dis-p#os-tas
viajante	vi-a-j#an-te
rápido	r#á-pi-do
sensação	sen-sa-ç#ão
imobilidade	i-mo-bi-li-d#a-de
Patenteiam-se	pa-ten-te-#i-am§-se
invariável	in-va-ri-#á-vel
afasta	a-f#as-ta
medida	me-d#i-da
avança	a-v#an-ça
Raras	r#a-ras
povoado	po-vo-#a-do
minúsculo	mi-n#ús-cu-lo
Cansanção	can-san-ç#ão
larga	l#ar-ga
emersão	e-mer-s#ão
fértil	f#ér-til
recama	re-c#a-ma
virente	vi-r#en-te
Despontam	des-p#on-tam
vivendas	vi-v#en-das
pobres	p#o-bres
desertas	de-s#er-tas
retirada	re-ti-r#a-da
espavoriu	es-pa-vo-r#iu
agravando	a-gra-v#an-do
paupérrimo	pau-p#é-rri-mo
melancólico	me-lan-c#ó-li-co
Nas	Nas
cercanias	cer-ca-n#i-as
Quirinquinquá	qui-rin-quin-qu#á
porem	p#o-rem
movimentar-se	mo-vi-men-t#ar§-se
pequeno	pe-qu#e-no
sítio	s#í-tio
ereto	e-r#e-to
alevanta-se	a-le-v#an-ta§-se
já	j#á
alta	#al-ta
expansão	ex-pan-s#ão
granítica	gra-n#í-ti-ca
atentando-se	a-ten-t#an-do§-se
divisa-se	di-v#i-sa§-se
riçada	ri-ç#a-da
perdendo-se	per-d#en-do§-se
fugitivas	fu-gi-t#i-vas
oposto	o-p#os-to
redondos	re-d#on-dos
desenhou	de-se-nh#ou
ilustre	i-l#us-tre
Martins	mar-t#ins
empina-se	em-p#i-na§-se
pique	p#i-que
frente	fr#en-te
possante	po-ss#an-te
dique	d#i-que
branco	br#an-co
azulados	a-zu-l#a-dos
tons	t#ons
relevo	re-l#e-vo
massa	m#a-ssa
gnáissica	gn#ái-ssi-ca
Constitui	cons-ti-tu#i
Dominante	do-mi-n#an-te
enorme	e-n#or-me
paredão	pa-re-d#ão
vincado	vin-c#a-do
expostas	ex-p#os-tas
eólia	e-#ó-lia
afigura-se	a-fi-g#u-ra§-se
cortina	cor-t#i-na
muralha	mu-r#a-lha
monumental	mo-nu-men-t#al
Termina	ter-m#i-na
crista	cr#is-ta
altíssima	al-t#í-ssi-ma
estremando-lhe	es-tre-m#an-do§-lhe
desenvolvimento	de-sen-vol-vi-m#en-to
NE	n#e
cavaleiro	ca-va-l#ei-ro
erige	e-r#i-ge
sopé	so-p#é
Centraliza	cen-tra-l#i-za
vasto	v#as-to
Observa-se	ob-s#er-va§-se
atenuados	a-te-nu-#a-dos
Caldeirão	cal-dei-r#ão
ergue-se	#er-gue§-se
dessa	d#e-ssa
sublevação	su-ble-va-ç#ão
metamórfica	me-ta-m#ór-fi-ca
alcançando-o	al-can-ç#an-do-§o
adusto	a-d#us-to
impressionadora	im-pre-ssi-o-na-d#o-ra
condições	con-di-ç#ões
estruturais	es-tru-tu-r#ais
vincularam	vin-cu-l#a-ram
violência	vi-o-l#ên-cia
máxima	m#á-xi-ma
exteriores	ex-te-ri-#o-res
desenho	de-s#e-nho
estupendos	es-tu-p#en-dos
climas	cl#i-mas
excessivos	e-xce-ss#i-vos
sobrevindo	so-bre-v#in-do
súbito	s#ú-bi-to
insolações	in-so-la-ç#ões
demoradas	de-mo-r#a-das
embatendo	em-ba-t#en-do
naqueles	na-qu#e-les
pendores	pen-d#o-res
expôs	ex-p#ôs
muito	m#ui-to
arrebatando-lhes	arrebatando§-lhes
degradados	de-gra-d#a-dos
variedades	va-ri-e-d#a-des
cristalinas	cris-ta-l#i-nas
quartzitos	quar-tz#i-tos
ásperos	#ás-pe-ros
filades	fi-l#a-des
calcários	cal-c#á-rios
revezando-se	re-ve-z#an-do§-se
entrelaçando-se	en-tre-la-ç#an-do-§se
cobertos	co-b#er-tos
tolhiça	to-lh#i-ça
dispondo-se	dis-p#on-do§-se
cenários	ce-n#á-rios
ressalta	re-ss#al-ta
predominante	pre-do-mi-n#an-te
atormentado	a-tor-men-t#a-do
denunciam	de-nun-c#i-am
enterroado	en-te-rro-#a-do
desmantelo	des-man-t#e-lo
contorcido	con-tor-c#i-do
secos	s#e-cos
efêmeros	e-f#ê-me-ros
constrito	cons-tr#i-to
gargantas	gar-g#an-tas
convulsivo	con-vul-s#i-vo
decídua	de-c#í-dua
embaralhada	em-ba-ra-lh#a-da
algum	al-g#um
brutalmente	bru-tal-m#en-te
golpeada	gol-pe-#a-da
distribuídos	dis-tri-bu-#í-dos
modalidades	mo-da-li-d#a-des
climáticas	cli-m#á-ti-cas
extrema	ex-tr#e-ma
secura	se-c#u-ra
ares	#a-res
estio	es-t#i-o
facilitando	fa-ci-li-t#an-do
irradiação	i-rra-di-a-ç#ão
noturna	no-t#ur-na
perda	p#er-da
instantânea	ins-tan-t#â-ne-a
calor	ca-l#or
absorvido	ab-sor-v#i-do
soalheiras	so-a-lh#ei-ras
impõe-lhes	im-p#õe-§lhes
alternativa	al-ter-na-t#i-va
quedas	qu#e-das
termométricas	ter-mo-m#é-tri-cas
repentinas	re-pen-t#i-nas
jogar	jo-g#ar
dilatações	di-la-ta-ç#ões
contrações	con-tra-ç#ões
disjunge	dis-j#un-ge
abrindo-as	a-br#in-do§-as
planos	pl#a-nos
menor	me-n#or
chuvas	ch#u-vas
fecham	f#e-cham
improviso	im-pro-v#i-so
ciclos	c#i-clos
adurentes	a-du-r#en-tes
precipitam	pre-ci-p#i-tam
reações	re-a-ç#ões
forças	f#or-ças
trabalham	tra-b#a-lham
atacam-na	a-t#a-cam§-na
demolidora	de-mo-li-d#o-ra
substituindo-se	subs-ti-tu-#in-do§-se
intercadência	in-ter-ca-d#ên-cia
estações	es-ta-ç#ões
únicas	#ú-ni-cas
Dissociam-na	di-sso-c#i-am§-na
verões	ve-r#ões
queimosos	qu#ei-mo-sos
degradam-na	de-gr#a-dam§-na
invernos	in-v#er-nos
torrenciais	to-rren-ci-#ais
Vão	v#ão
desequilíbrio	de-se-qui-l#í-brio
molecular	mo-le-cu-l#ar
agindo	a-g#in-do
surdamente	sur-da-m#en-te
dinâmica	di-n#â-mi-ca
tormentas	tor-m#en-tas
Ligam-se	l#i-gam§-se
completam-se	com-pl#e-tam§-se
preponderar	pre-pon-de-r#ar
entrelaçamento	en-tre-la-ça-m#en-to
ambas	#am-bas
modificam-se	mo-di-f#i-cam§-se
assomadas	a-sso-m#a-das
gnáissicas	gn#ái-ssi-cas
caprichosamente	ca-pri-cho-sa-m#en-te
cindidas	cin-d#i-das
geométricos	ge-o-m#é-tri-cos
silhares	si-lh#a-res
surgem	s#ur-gem
numerosos	nu-me-r#o-sos
ilusão	i-lu-s#ão
encontrar-se	en-con-tr#ar§-se
repente	re-p#en-te
ermos	#er-mos
vazios	va-z#i-os
majestosas	ma-jes-t#o-sas
ruinarias	r#ui-na-rias
castelos	cas-t#e-los
cercam	c#er-cam
desordem	de-s#or-dem
seguros	se-g#u-ros
bases	b#a-ses
estreitas	es-tr#ei-tas
ângulos	#ân-gu-los
incombentes	in-com-b#en-tes
instáveis	ins-t#á-veis
loghans	log-hans
oscilantes	os-ci-l#an-tes
desmoronamentos	des-mo-ro-na-m#en-tos
dolmens	dol-mens
acervos	a-c#er-vos
imagem	i-m#a-gem
perfeita	per-f#ei-ta
desses	d#e-sses
característicos	ca-rac-te-r#ís-ti-cos
imperam	im-p#e-ram
regímens	re-g#í-mens
Pelas	p#e-las
tumultuam	tu-mul-t#u-am
velhíssimas	ve-lh#í-ssi-mas
corroídas	co-rro-#í-das
derramam	de-rr#a-mam
ora	#o-ra
relembrando	re-lem-br#an-do
velhos	v#e-lhos
caminhos	ca-m#i-nhos
geleiras	ge-l#ei-ras
esmo	#es-mo
lastros	l#as-tros
seixos	s#ei-xos
